experiment_id,stage,prep_id,sample_id,model_id,hp_id,pr_auc_mean,pr_auc_std,recall_mean,f1_mean,balanced_acc_mean
P4_drop40_winsor__S1_weight__M2_xgboost__default,quick,P4_drop40_winsor,S1_weight,M2_xgboost,default,0.2012070079277628,0.07457336171028917,0.19542483660130722,0.22488033445224936,0.5812449354660896
P4_drop40_winsor__S1_weight__M1_random_forest__default,quick,P4_drop40_winsor,S1_weight,M1_random_forest,default,0.1824250306149687,0.043725768163669534,0.4862745098039216,0.2609827925956958,0.6392037790631215
P6_full_mi40__S1_weight__M2_xgboost__default,quick,P6_full_mi40,S1_weight,M2_xgboost,default,0.17980843739031363,0.053030483185902706,0.28366013071895424,0.23927350427350427,0.6024078604106495
P6_full_mi40__S1_weight__M3_lightgbm__default,quick,P6_full_mi40,S1_weight,M3_lightgbm,default,0.1588371281915212,0.03829657055912718,0.06862745098039216,0.09762962962962962,0.5246589774658406
P6_full_mi40__S2_smote__M2_xgboost__default,quick,P6_full_mi40,S2_smote,M2_xgboost,default,0.15354108234572011,0.049503962054387916,0.37777777777777777,0.23453959833270174,0.6237250075571101
P2_drop40_median__S2_smote__B1_logistic_l2__default,quick,P2_drop40_median,S2_smote,B1_logistic_l2,default,0.12618946482636445,0.02463371267592701,0.47320261437908506,0.1652131282029236,0.5804946223858114
P2_drop40_median__S1_weight__B1_logistic_l2__default,quick,P2_drop40_median,S1_weight,B1_logistic_l2,default,0.12361426776096045,0.02329373893662508,0.5300653594771242,0.16196592015398367,0.5827859508876746
P0_minimal__S0_none__B1_logistic_l2__default,quick,P0_minimal,S0_none,B1_logistic_l2,default,0.10759639182535499,0.015728640396217467,0.38627450980392164,0.17493522350665208,0.5817692020453731
P2_drop40_median__S0_none__B1_logistic_l2__default,quick,P2_drop40_median,S0_none,B1_logistic_l2,default,0.0814126757930099,0.017676639129008853,0.9653594771241829,0.12610759223581217,0.5096472861718855
P0_minimal__S0_none__B0_dummy__default,quick,P0_minimal,S0_none,B0_dummy,default,0.06598204036197565,0.001976187287485246,0.011764705882352941,0.01111111111111111,0.4680698124566577
